book,author,country,region
The O. Henry Prize Stories 2002,"Dark, Larry",USA,
Rebecca,"du Maurier, Daphne",UK,
Asleep,"Yoshimoto, Banana",Japan,
Fight Club,"Palahniuk, Chuck",USA,
City of Djinns,"Dalrymple, William",India,
A Hunger Artist,"Kafka, Franz",Czech Republic,
Suzanne's Diary for Nicholas,"Patterson, James",USA,
Vita Sexualis,"Mori, Ōgai",Japan,
The Dare,"Stine, R.L.",USA,
The Complete Saki,Saki,UK,
Tales of the Unexpected,"Dahl, Roald",UK,
Labyrinths,"Borges, Jorge Luis",Argentina,
Great Essays in Science,"Gardner, Martin",USA,
Intensity,"Koontz, Dean",USA,
The Writing Life,"Dillard, Annie",USA,
The Barn Owl's Wondrous Capers,"Banerjee, Sarnath",India,
Franz Kafka Complete Short Stories,"Kafka, Franz",Czech Republic,
The Cloning of Joanna May,"Weldon, Fay",UK,
A Pebble for Your Pocket,Thich Nhat Hanh,Vietnam,
First Date,"Stine, R.L.",USA,
Collected Fictions,"Borges, Jorge Luis",Argentina,
Bird by Bird,"Lamott, Anne",USA,
The Shining,"King, Stephen",USA,
The Myth of Sisyphus,"Camus, Albert",Algeria,
Switch Bitch,"Dahl, Roald",UK,
The Book Thief,"Zusak, Markus",Australia,
Kiss the Girls,"Patterson, James",USA,
Queen of Babble,"Cabot, Meg",USA,
On Beauty,"Smith, Zadie",UK,
Fun Home,"Bechdel, Alison",USA,
Sultana's Dream,"Hossain, Rokeya Sakhawat",India,West Bengal
Ficciones,"Borges, Jorge Luis",Argentina,
Fingersmith,"Waters, Sarah",UK,Wales
Matilda,"Dahl, Roald",UK,
Selected Letters of Rabindranath Tagore,"Tagore, Rabindranath",India,West Bengal
Piece of Cake,"Kaushal, Swati",India,
The Handmaid's Tale,"Atwood, Margaret",Canada,
For Matrimonial Purposes,"Daswani, Kavita",India,
The Lovely Bones,"Sebold, Alice",USA,
Like Water for Chocolate,"Esquivel, Laura",Mexico,
Ariel,"Plath, Sylvia",USA,
Fireflies,"Tagore, Rabindranath",India,West Bengal
Rubaiyat of Omar Khayyam,"Khayyam, Omar",Iran,
The Nose,"Gogol, Nikolai",Ukraine,
Lolita,"Nabokov, Vladimir",Russia,
Fahrenheit 451,"Bradbury, Ray",USA,
Bhupen Khakhar,"Khakhar, Bhupen",India,Gujarat
Der Ursprung des Kunstwerkes,"Heidegger, Martin",Germany,
A Room of One's Own,"Woolf, Virginia",UK,
Embroideries,"Satrapi, Marjane",Iran,
"Blind Willow, Sleeping Woman","Murakami, Haruki",Japan,
Balzac and the Little Chinese Seamstress,"Dai, Sijie",China,
The Notebook,"Sparks, Nicholas",USA,
Never Let Me Go,"Ishiguro, Kazuo",Japan,
Kitchen,"Yoshimoto, Banana",Japan,
Memoirs of a Geisha,"Golden, Arthur",USA,
Bet Me,"Crusie, Jennifer",USA,
The Complete Maus,"Spiegelman, Art",USA,
The Girl With the Dragon Tattoo,"Larsson, Stieg",Sweden,
Jonathan Livingston Seagull,"Bach, Richard",USA,
The White Tiger,"Adiga, Aravind",India,
"I, Robot","Asimov, Isaac",Russia,
The Picture of Dorian Gray,"Wilde, Oscar",Ireland,
The Quickie,"Patterson, James",USA,
Haroun and the Sea of Stories,"Rushdie, Salman",India,
Tuesdays with Morrie,"Albom, Mitch",USA,
What Is Art?,"Tolstoy, Leo",Russia,
Poems,"কবির, হুমায়ুন",India,West Bengal
Gitanjali,"Tagore, Rabindranath",India,West Bengal
Twenty Love Poems and a Song of Despair,"Neruda, Pablo",Chile,
Secret Admirer,"Stine, R.L.",USA,
"To Sir, With Love","Braithwaite, E.R.",Guyana,
Animal Farm,"Orwell, George",India,Bihar
The Metamorphosis,"Kafka, Franz",Czech Republic,
Existentialism is a Humanism,"Sartre, Jean-Paul",France,
The Three-Cornered World,"Sōseki, Natsume",Japan,
Ways of Seeing,"Berger, John",UK,
What We Talk About When We Talk About Love,"Carver, Raymond",USA,
P.S. I Love You,"Ahern, Cecelia",Ireland,
Madame Bovary,"Flaubert, Gustave",France,
Candide,Voltaire,France,
Remember Me?,"Kinsella, Sophie",UK,
Heart of Darkness,"Conrad, Joseph",Poland,
Can You Keep a Secret?,"Kinsella, Sophie",UK,
I'll Be You and You Be Me,"Krauss, Ruth",USA,
High Fidelity,"Hornby, Nick",UK,
The Da Vinci Code,"Brown, Dan",USA,
The Penelopiad,"Atwood, Margaret",Canada,
The Catcher in the Rye,"Salinger, J.D.",USA,
Stardust,"Gaiman, Neil",UK,
Sons and Lovers,"Lawrence, D.H.",UK,
Dear Everybody,"Kimball, Michael",USA,
Brave New World,"Huxley, Aldous",UK,
Misery,"King, Stephen",USA,
Princess Nevermore,"Regan, Dian Curtis",USA,
A Thousand Splendid Suns,"Hosseini, Khaled",Afghanistan,
The Kite Runner,"Hosseini, Khaled",Afghanistan,
A Portrait of the Artist as a Young Man,"Joyce, James",Ireland,
The Color Purple,"Walker, Alice",USA,
Interpreter of Maladies,"Lahiri, Jhumpa",India,West Bengal
Sundays at Tiffany's,"Patterson, James",USA,
The Stranger,"Camus, Albert",Algeria,
Flowers for Algernon,"Keyes, Daniel",USA,
Anne of Green Gables,"Montgomery, L.M.",Canada,
The Hour of the Star,"Lispector, Clarice",Brazil,
The Best Short Stories of O. Henry,"Henry, O.",USA,
The Curious Incident of the Dog in the Night-Time,"Haddon, Mark",UK,
The Alchemist,"Coelho, Paulo",Brazil,
The Scarlet Letter,"Hawthorne, Nathaniel",USA,
The Little Stranger,"Waters, Sarah",UK,Wales
Twenties Girl,"Kinsella, Sophie",UK,
Meditations on First Philosophy,"Descartes, René",France,
Her Fearful Symmetry,"Niffenegger, Audrey",USA,
One Day,"Nicholls, David",UK,
The Girl Who Played with Fire,"Larsson, Stieg",Sweden,
The Why Why Girl,"Devi, Mahasweta",India,West Bengal
The Complete Persepolis,"Satrapi, Marjane",Iran,
The Happiness Advantage,"Achor, Shawn",USA,
Before I Go to Sleep,"Watson, S.J.",UK,
Habibi,"Thompson, Craig",USA,
Chouboli & Other Stories,"Detha, Vijaydan",India,Rajasthan
The Sense of an Ending,"Barnes, Julian",UK,
Are You My Mother?,"Bechdel, Alison",USA,
The Fault in Our Stars,"Green, John",USA,
The Future is Japanese,"Liu, Ken",China,
The Yellow Wallpaper and Other Stories,"Gilman, Charlotte Perkins",USA,
The Yellow Wallpaper,"Gilman, Charlotte Perkins",USA,
Stone Mattress,"Atwood, Margaret",Canada,
The Vegetarian,"Han, Kang",South Korea,
The Greatest Love Story of All Time,"Robinson, Lucy",UK,
A Thousand Mornings,"Oliver, Mary",USA,
Em and The Big Hoom,"Pinto, Jerry",India,Goa/Mumbai
The Cuckoo's Calling,"Galbraith, Robert",UK,
Love Stories # 1 to 14,"Zaidi, Annie",India,
Computing machinery and intelligence,"Turing, Alan",UK,
The Accidental Universe,"Lightman, Alan",USA,
Essentialism,"McKeown, Greg",UK,
Kashmir Pending,"Ahmed, Naseer",India,Kashmir
14 Stories That Inspired Satyajit Ray,Bhaskar Chattopadhyay,India,West Bengal
The Sleeper and the Spindle,"Gaiman, Neil",UK,
"Polyphony, Volume 4","Layne, Deborah",USA,
DOGS! An Anthology,"Sabhaney, Vidyun",India,Delhi
The Strange Library,"Murakami, Haruki",Japan,
The Paper Menagerie and Other Stories,"Liu, Ken",China,
The Heart Goes Last,"Atwood, Margaret",Canada,
What Is Not Yours Is Not Yours,"Oyeyemi, Helen",Nigeria,
The Adivasi Will Not Dance,"Shekhar, Hansda Sowvendra",India,Jharkhand
Clarkesworld Magazine Issue 100,"Clarke, Neil",USA,
One Thousand Days in a Refrigerator,"Panda, Manoj Kumar",India,Odisha
Gujarat Files,"Ayyub, Rana",India,Gujarat
The Undoing Project,"Lewis, Michael",USA,
Erotic Stories for Punjabi Widows,"Jaswal, Balli Kaur",India,Punjab
